Country Name;Country Code;World regions according to OWID;Intentional homicides (per 100000 people) as of 2021;Intentional homicides/100k  x 100;Cantril ladder score;Cantril ladder score*1000;GDP per capita. PPP (constant 2021 international $);HDI (Human Development Indicator) Value (0~1000);Country Class;Class 4;Class 3;Class 2;Class 1
Afghanistan;AFG;Asia;4.02;402;1.721;1721;1992;462;4;1;0;0;0
Albania;ALB;Europe;2.31;231;5.304;5304;18244;789;2;0;0;1;0
Argentina;ARG;South America;4.62;462;6.188;6188;27105;849;2;0;0;1;0
Armenia;ARM;Asia;2.19;219;5.455;5455;19230;786;2;0;0;1;0
Australia;AUS;Oceania;0.74;74;7.057;7057;59553;946;1;0;0;0;1
Austria;AUT;Europe;0.73;73;6.905;6905;65015;926;1;0;0;0;1
Azerbaijan;AZE;Asia;1.91;191;4.893;4893;21262;760;2;0;0;1;0
Bahrain;BHR;Asia;0.07;7;5.959;5959;57213;888;1;0;0;0;1
Bangladesh;BGD;Asia;2.34;234;3.886;3886;8242;670;3;0;1;0;0
Belgium;BEL;Europe;1.08;108;6.894;6894;64186;942;1;0;0;0;1
Benin;BEN;Africa;1.13;113;4.377;4377;3721;504;4;1;0;0;0
Bolivia;BOL;South America;3.49;349;5.784;5784;9844;698;3;0;1;0;0
Bosnia and Herzegovina;BIH;Europe;0.98;98;5.877;5877;20126;779;2;0;0;1;0
Botswana;BWA;Africa;10.55;1055;3.383;3383;18846;708;3;0;1;0;0
Brazil;BRA;South America;22.38;2238;6.272;6272;19018;760;2;0;0;1;0
Bulgaria;BGR;Europe;1.28;128;5.463;5463;33403;799;2;0;0;1;0
Burkina Faso;BFA;Africa;1.25;125;4.548;4548;2482;438;4;1;0;0;0
Cameroon;CMR;Africa;4.54;454;4.874;4874;4871;587;3;0;1;0;0
Canada;CAN;North America;2.07;207;6.9;6900;55919;935;1;0;0;0;1
Chile;CHL;South America;3.63;363;6.36;6360;29463;860;2;0;0;1;0
China;CHN;Asia;0.5;50;5.973;5973;22138;788;2;0;0;1;0
Colombia;COL;South America;27.48;2748;5.695;5695;18692;758;2;0;0;1;0
Costa Rica;CRI;North America;11.41;1141;6.955;6955;26293;806;2;0;0;1;0
Croatia;HRV;Europe;0.81;81;5.942;5942;41117;878;1;0;0;0;1
Cyprus;CYP;Europe;1.29;129;6.068;6068;53421;907;1;0;0;0;1
Czechia;CZE;Europe;0.45;45;6.822;6822;49681;895;1;0;0;0;1
Denmark;DNK;Europe;0.8;80;7.583;7583;72097;952;1;0;0;0;1
Dominican Republic;DOM;North America;10.54;1054;5.823;5823;23088;766;2;0;0;1;0
Ecuador;ECU;South America;14.02;1402;5.725;5725;14472;765;2;0;0;1;0
