Índice;Bairro;Tamanho;N° de Quartos;Tipo;Vagas de Garagem;Valor de Venda
1;Batel;220;4;Casa;4;3168000
2;Batel;140;3;Apartamento;2;1680000
3;Batel;180;3;Sobrado;3;2376000
4;Batel;95;2;Apartamento;1;1140000
5;Batel;300;5;Casa;4;4320000
6;Batel;155;3;Apartamento;2;1860000
7;Batel;250;4;Casa;3;3600000
8;Batel;120;3;Sobrado;2;1584000
9;Batel;85;2;Apartamento;1;1020000
10;Batel;280;4;Casa;4;4032000
11;Batel;130;3;Apartamento;2;1560000
12;Batel;165;3;Sobrado;2;2178000
13;Batel;78;2;Apartamento;1;936000
14;Batel;260;4;Casa;3;3744000
15;Batel;105;3;Apartamento;2;1260000
16;Batel;210;4;Casa;3;3024000
17;Batel;115;3;Sobrado;2;1518000
18;Batel;65;1;Apartamento;1;780000
19;Batel;240;4;Casa;4;3456000
20;Batel;80;2;Apartamento;1;960000
21;Bigorrilho;180;3;Casa;3;2160000
22;Bigorrilho;100;2;Apartamento;2;1000000
23;Bigorrilho;150;3;Sobrado;2;1650000
24;Bigorrilho;75;2;Apartamento;1;750000
25;Bigorrilho;250;4;Casa;4;3000000
26;Bigorrilho;130;3;Apartamento;2;1300000
27;Bigorrilho;200;4;Casa;3;2400000
28;Bigorrilho;110;3;Sobrado;2;1210000
29;Bigorrilho;60;1;Apartamento;1;600000
30;Bigorrilho;220;4;Casa;4;2640000
31;Bigorrilho;115;3;Apartamento;2;1150000
32;Bigorrilho;145;3;Sobrado;2;1595000
33;Bigorrilho;82;2;Apartamento;1;820000
34;Bigorrilho;280;5;Casa;4;3360000
35;Bigorrilho;98;2;Apartamento;2;980000
36;Bigorrilho;170;3;Casa;3;2040000
37;Bigorrilho;135;3;Sobrado;2;1485000
38;Bigorrilho;70;2;Apartamento;1;700000
39;Bigorrilho;230;4;Casa;3;2760000
40;Bigorrilho;125;3;Apartamento;2;1250000
41;Juvevê;160;3;Casa;3;1728000
42;Juvevê;90;2;Apartamento;1;810000
43;Juvevê;130;3;Sobrado;2;1287000
44;Juvevê;70;2;Apartamento;1;630000
45;Juvevê;200;4;Casa;4;2160000
46;Juvevê;85;2;Apartamento;2;765000
